source,target,weight,relationship,shared_sources_count
pp_0,pp_3,2,co-mentioned,2
pp_0,pp_13,2,co-mentioned,2
pp_0,pp_98,2,co-mentioned,2
pp_0,pp_100,1,co-mentioned,1
pp_0,pp_118,1,co-mentioned,1
pp_0,pp_160,1,co-mentioned,1
pp_0,pp_161,1,co-mentioned,1
pp_0,pp_180,1,co-mentioned,1
pp_0,pp_216,1,co-mentioned,1
pp_0,pp_236,1,co-mentioned,1
pp_0,pp_292,1,co-mentioned,1
pp_0,pp_337,1,co-mentioned,1
pp_0,pp_338,1,co-mentioned,1
pp_0,pp_339,1,co-mentioned,1
pp_0,pp_340,1,co-mentioned,1
pp_0,pp_341,1,co-mentioned,1
pp_0,pp_342,1,co-mentioned,1
pp_0,pp_343,1,co-mentioned,1
pp_0,pp_401,1,co-mentioned,1
pp_0,pp_402,1,co-mentioned,1
pp_0,pp_403,1,co-mentioned,1
pp_0,pp_404,1,co-mentioned,1
pp_0,pp_405,1,co-mentioned,1
pp_0,pp_483,1,co-mentioned,1
pp_0,pp_484,1,co-mentioned,1
pp_0,pp_485,1,co-mentioned,1
pp_0,pp_486,1,co-mentioned,1
pp_0,pp_487,1,co-mentioned,1
pp_0,pp_634,1,co-mentioned,1
pp_0,pp_635,1,co-mentioned,1
pp_0,pp_636,1,co-mentioned,1
pp_0,pp_637,1,co-mentioned,1
pp_0,pp_638,1,co-mentioned,1
pp_0,pp_639,1,co-mentioned,1
pp_0,pp_640,1,co-mentioned,1
pp_0,pp_641,1,co-mentioned,1
pp_0,pp_642,1,co-mentioned,1
pp_0,pp_643,1,co-mentioned,1
pp_0,pp_644,1,co-mentioned,1
pp_0,pp_645,1,co-mentioned,1
pp_0,pp_646,1,co-mentioned,1
pp_0,pp_647,1,co-mentioned,1
pp_0,pp_648,1,co-mentioned,1
pp_0,pp_649,1,co-mentioned,1
pp_0,pp_650,1,co-mentioned,1
pp_0,pp_651,1,co-mentioned,1
